model,image_id,label,pred,prob,inside_fraction,density_ratio,lesion_area_frac
CNN,ISIC_0025542,0,0,0.3176960051059723,0.0977817103266716,1.5124956369400024,0.06686463647959184
CNN,ISIC_0030365,0,1,0.6042547225952148,0.8877123594284058,9.33360767364502,0.45858577806122447
CNN,ISIC_0029214,0,0,0.39010319113731384,0.0187294352799654,0.0783597007393837,0.19587053571428573
CNN,ISIC_0024794,0,0,0.39321261644363403,0.08783061802387238,0.16800819337368011,0.3643176020408163
CNN,ISIC_0033830,0,0,0.3612940013408661,0.07646328210830688,0.4682433307170868,0.15025111607142858
CNN,ISIC_0032392,0,0,0.22793292999267578,0.5999629497528076,1.253602147102356,0.5447026466836735
CNN,ISIC_0032748,0,1,0.8459903001785278,0.9237297773361206,24.59197998046875,0.32997847576530615
CNN,ISIC_0032277,0,0,0.47752535343170166,0.7220045924186707,3.3571343421936035,0.43618463010204084
CNN,ISIC_0026014,0,1,0.5050774812698364,0.8778876662254333,4.613083362579346,0.6091358418367347
CNN,ISIC_0033221,0,0,0.4091106057167053,0.025778936222195625,0.11630354821681976,0.18534757653061223
CNN,ISIC_0025427,0,0,0.38157057762145996,0.9882505536079407,74.11473083496094,0.5315888073979592
CNN,ISIC_0024807,0,0,0.1317383497953415,0.0033416748046875,0.0025242932606488466,0.5704918686224489
CNN,ISIC_0025250,0,1,0.57356196641922,0.16121530532836914,5.4114484786987305,0.034299266581632654
CNN,ISIC_0029041,0,1,0.6680061221122742,0.79720139503479,8.339861869812012,0.32035235969387754
CNN,ISIC_0027124,0,0,0.30822786688804626,0.024355772882699966,0.07512274384498596,0.2494220344387755
CNN,ISIC_0027357,0,0,0.3288978934288025,1.9955899915657938e-05,0.00010863329225685447,0.1551937181122449
CNN,ISIC_0033840,0,0,0.3151386082172394,0.008147209882736206,0.15804333984851837,0.04940609056122449
CNN,ISIC_0034168,0,1,0.7135143876075745,0.6946837902069092,8.115631103515625,0.21896922831632654
CNN,ISIC_0027068,0,0,0.2190077006816864,0.009374575689435005,0.06858240813016891,0.12125318877551021
CNN,ISIC_0033416,1,1,0.8538028001785278,0.8365768194198608,15.83328628540039,0.24431999362244897
CNN,ISIC_0027601,0,0,0.475166916847229,0.2187483012676239,0.875359833240509,0.2423469387755102
CNN,ISIC_0031401,1,1,0.8764816522598267,0.8554908037185669,7.1029863357543945,0.4545798788265306
CNN,ISIC_0028992,0,1,0.518162727355957,0.8126628994941711,2.2080585956573486,0.6626873405612245
CNN,ISIC_0024985,0,0,0.28843483328819275,0.02285606600344181,0.09610137343406677,0.19575095663265307
CNN,ISIC_0027650,0,1,0.6786890029907227,0.8169797658920288,4.258408069610596,0.5117785395408163
CNN,ISIC_0029249,0,1,0.5990366339683533,0.437053382396698,3.389052629470825,0.18638392857142858
CNN,ISIC_0033210,0,0,0.4338793158531189,0.13186562061309814,0.6057091951370239,0.20049426020408162
CNN,ISIC_0032364,0,1,0.6598879098892212,0.7355883121490479,7.736340045928955,0.2644889987244898
CNN,ISIC_0033549,0,1,0.5233283042907715,0.8514852523803711,28.234766006469727,0.1687858737244898
CNN,ISIC_0031044,0,1,0.6673851609230042,0.510597825050354,1.2321443557739258,0.4585060586734694
